16h48m09.2496s +25d45m20.2608s
16h48m09.948s +24d03m48.2508s
16h48m10.0032s +30d22m27.0012s
16h48m10.4256s +29d35m48.498s
16h48m10.6776s +21d25m04.1844s
16h48m10.7016s +20d52m59.718s
16h48m11.5584s +28d34m33.2508s
16h48m11.5752s +24d08m18.5388s
16h48m11.7264s +21d31m09.6276s
16h48m12.024s +33d16m29.9424s
16h48m12.0456s +24d09m07.7436s
12h11m49.7424s +1d42m59.2175s
12h11m49.8984s +30d33m47.7072s
12h11m49.9008s +32d59m07.584s
12h11m49.9368s +2d40m28.5917s
12h11m49.9488s +17d40m35.5188s
12h11m49.9512s +-2d13m59.9056s
12h11m50.0568s +7d40m33.1763s
12h11m50.0904s +1d11m55.252s
12h11m50.1096s +4d10m27.8663s
12h11m50.2104s +30d22m00.4368s
12h11m50.2632s +11d58m29.2008s
12h11m50.2728s +14d37m16.2588s
12h11m50.292s +13d40m50.1888s
12h11m50.3232s +67d55m45.9588s
12h11m50.4888s +43d29m30.3504s
12h11m50.532s +61d49m36.2172s
12h11m50.5584s +61d35m43.7784s
12h11m50.6328s +52d29m51.4968s
12h11m50.7216s +31d21m46.0368s
12h11m50.7336s +61d50m56.13s
12h11m50.7432s +12d49m10.668s
12h10m02.8392s +38d45m40.6152s
12h10m02.9016s +5d16m27.9718s
12h10m02.9736s +5d23m39.1268s
12h10m02.9976s +27d35m37.9104s
12h10m03.0936s +3d59m17.6086s
12h10m03.1248s +19d04m53.9832s
12h10m03.132s +14d58m45.0768s
12h10m03.2184s +57d07m37.3188s
12h10m03.2424s +45d39m52.6428s
12h10m03.2712s +11d42m48.8628s
12h10m03.3744s +29d24m16.8084s
12h10m03.4872s +25d53m28.2804s
12h10m03.552s +38d56m48.1776s
12h10m03.6216s +31d56m19.5972s
12h10m03.948s +26d13m59.8152s
12h10m03.9888s +68d41m41.9928s
12h10m04.0608s +32d01m15.2004s
0h00m01.5535s +-0d05m33.334s
0h00m01.8571s +0d43m09.3521s
0h00m01.9989s +15d41m49.8516s
0h00m02.1021s +15d52m54.3216s
0h00m02.8229s +14d42m55.9728s
0h00m03.223s +-1d06m46.948s
0h00m03.3351s +-10d43m15.9672s
0h00m03.8554s +14d59m51.342s
0h00m04.1878s +-8d44m03.0588s
0h00m04.6076s +-8d56m37.666s
0h00m04.75s +0d46m54.1239s
0h00m05.5492s +-1d12m58.9273s
0h00m07.1236s +0d51m28.3396s
0h00m07.8236s +-0d02m26.0546s
0h00m09.5552s +14d14m36.0744s
0h00m10.1221s +0d38m03.4128s
0h00m10.3345s +-0d21m27.459s
0h00m11.5672s +-8d50m08.3738s
0h00m12.3494s +-10d32m10.608s
0h00m12.7961s +1d07m12.7013s
0h00m13.1947s +14d35m30.156s
0h00m13.4413s +-1d12m49.0676s
0h00m14.0873s +-10d28m45.876s
0h00m14.453s +14d12m41.8104s
0h00m14.7682s +0d40m28.3391s
0h00m15.7296s +-8d53m28.0068s
0h00m16.2737s +14d43m59.2932s
0h00m19.0336s +-10d52m58.9764s
0h00m19.284s +-9d37m55.2486s
0h00m19.6928s +-9d41m42.4565s
0h00m19.8935s +14d22m19.5636s
0h00m20.0607s +13d50m01.6476s
0h00m20.2347s +14d11m09.9276s
0h00m20.5535s +-10d20m48.8544s
0h00m20.9461s +0d12m54.3027s
0h00m22.8429s +16d08m52.4292s
0h00m22.8756s +-0d06m35.6863s
0h00m27.4731s +14d57m44.946s
0h00m27.923s +-0d41m22.4246s
0h00m27.9799s +-0d26m53.542s
0h00m28.0713s +14d22m52.3992s
0h00m28.6642s +0d52m08.2665s
0h00m30.8889s +-1d12m46.8162s
0h00m30.944s +15d35m09.3372s
0h00m31.3722s +-9d27m56.12s
0h00m31.8587s +16d06m44.6652s
0h00m31.9873s +-10d33m21.996s
0h00m32.3968s +14d34m54.6168s
0h00m33.78s +15d11m02.13s
0h00m34.2009s +14d37m09.2028s
0h00m39.3168s +-0d00m48.0816s
0h00m39.8564s +-11d09m27.684s
0h00m39.9714s +-1d11m28.3081s
0h00m40.043s +14d33m07.7364s
0h00m40.3854s +-9d40m22.08s
0h00m42.1642s +14d30m23.1228s
0h00m43.5444s +14d31m29.5176s
0h00m43.7291s +-10d25m21.4068s
0h00m44.1552s +0d40m22.7766s
0h00m44.5566s +-8d43m33.6324s
0h00m44.7915s +-10d24m20.7936s
0h00m45.5937s +14d04m28.758s
0h00m47.0818s +14d18m46.5372s
0h00m47.12s +-10d48m09.0288s
0h00m47.8901s +14d16m39.1656s
0h00m48.5644s +14d33m08.7336s
0h00m48.8269s +14d00m33.5448s
0h00m50.9169s +14d14m10.32s
0h00m51.1134s +14d15m06.9876s
0h00m51.4025s +15d15m03.0384s
0h00m52.0919s +-10d35m12.8652s
0h00m52.2065s +-9d31m51.339s
0h00m52.2111s +-8d44m40.0182s
0h00m52.9129s +14d24m48.7512s
0h00m53.5333s +-1d06m54.7434s
0h00m53.8474s +13d50m14.3448s
0h00m54.7518s +15d13m07.4532s
0h00m55.6938s +14d01m06.4236s
0h00m56.5317s +0d45m46.0067s
0h00m57.5659s +15d16m41.7936s
0h00m57.8393s +14d11m25.494s
0h00m58.6345s +14d32m40.65s
0h01m01.6411s +14d51m16.7904s
0h01m02.7224s +-0d15m25.3975s
0h01m03.0421s +1d16m04.9224s
0h01m03.597s +14d34m48.6696s
0h01m04.3425s +-9d40m45.1495s
0h01m04.8964s +-9d09m15.6204s
0h01m06.3774s +-10d24m00.8532s
0h01m06.4915s +1d03m57.6799s
0h01m08.6887s +13d51m25.6896s
0h01m09.0344s +14d35m30.3036s
0h01m09.4392s +0d05m04.5686s
0h01m09.7273s +-10d32m34.8288s
0h01m11.1501s +-10d01m55.5348s
0h01m12.0002s +15d28m42.3192s
0h01m13.4408s +-0d59m34.5914s
0h01m14.3958s +15d07m01.7436s
0h01m15.1699s +14d00m08.5968s
0h01m15.6187s +14d39m59.9796s
0h01m16.4904s +16d10m57.3924s
0h01m18.0455s +-10d25m34.0788s
0h01m23.2174s +0d59m04.596s
0h01m23.2706s +-11d11m55.9536s
0h01m23.7349s +-0d51m06.9731s
0h01m24.3249s +0d43m49.3377s
0h01m25.9593s +13d48m27.342s
0h01m26.1149s +14d00m05.13s
0h01m27.3278s +14d11m26.9088s
0h01m28.5261s +-0d13m27.5045s
0h01m29.3439s +14d43m35.3028s
0h01m29.97s +1d02m52.499s
0h01m30.264s +-0d14m46.1317s
0h01m30.5018s +0d39m29.8972s
0h01m31.425s +14d24m26.8884s
0h01m31.6253s +1d05m50.6537s
0h01m32.2509s +14d11m07.9116s
0h01m33.9606s +15d04m53.6628s
0h01m34.6205s +0d16m27.9815s
0h01m35.6018s +14d39m33.768s
0h01m35.7622s +-0d23m42.3783s
0h01m40.2129s +1d05m31.0769s
0h01m40.6735s +-1d03m24.9934s
0h01m41.1831s +-0d02m57.1783s
0h01m41.2675s +1d01m02.4492s
0h01m43.5206s +13d52m11.2944s
0h01m44.4155s +15d12m15.1848s
0h01m44.5695s +14d53m51.5796s
0h01m45.4229s +15d58m04.2528s
0h01m46.4267s +0d45m01.6348s
0h01m47.0805s +14d20m51.9432s
0h01m49.0976s +-10d13m14.52s
0h01m49.5254s +14d26m22.938s
0h01m49.5749s +0d34m01.2664s
0h01m50.3366s +1d01m55.4174s
0h01m50.8692s +15d15m18.1224s
0h01m50.913s +-0d39m13.5258s
0h01m51.2914s +-9d24m30.3145s
0h01m53.7003s +16d08m15.234s
0h01m54.7601s +-8d56m03.5711s
0h01m55.0803s +14d51m08.82s
0h01m55.2587s +0d02m52.0542s
0h01m55.428s +0d32m46.8417s
0h01m56.8377s +1d09m24.6834s
0h02m00.8246s +15d01m32.1924s
0h02m00.8676s +-9d45m48.0506s
0h02m00.9383s +-0d20m35.1578s
0h02m01.5508s +-1d06m36.4817s
0h02m03.1524s +0d36m28.7485s
0h02m03.621s +0d37m54.8525s
0h02m03.7043s +13d44m51.2556s
0h02m03.9149s +15d03m18.432s
0h02m05.6383s +-11d12m38.1168s
0h02m06.342s +-10d13m06.7296s
0h02m06.3566s +-9d12m08.0158s
0h02m08.3048s +15d26m58.6428s
0h02m09.1216s +0d33m11.7745s
0h02m09.3875s +-10d25m09.48s
0h02m10.1928s +14d08m10.3344s
0h02m12.5719s +0d00m17.0709s
0h02m12.5834s +-0d40m49.5246s
0h02m13.9576s +-0d01m15.2854s
0h02m14.774s +14d29m15.8892s
0h02m15.926s +14d40m18.4764s
0h02m16.4244s +0d26m04.9131s
0h02m16.9107s +0d54m33.6333s
0h02m17.4088s +-10d40m40.9836s
0h02m17.5488s +-0d20m36.5607s
0h02m18.7694s +0d08m11.1531s
0h02m19.9822s +-0d49m48.3939s
0h02m20.4205s +-0d48m42.4683s
0h02m21.2364s +0d56m14.1242s
0h02m22.035s +15d25m11.0928s
0h02m22.3498s +0d39m39.9029s
0h02m23.178s +15d06m59.0976s
0h02m24.6596s +0d32m06.5498s
0h02m25.745s +-9d21m59.8378s
0h02m27.2794s +16d04m42.546s
0h02m28.0676s +0d08m22.3449s
0h02m29.5092s +-0d45m34.1367s
0h02m30.205s +-10d54m06.6276s
0h02m33.6251s +14d04m57.5256s
0h02m34.4359s +13d58m00.9228s
0h02m34.5083s +0d50m38.1922s
0h02m34.7255s +-0d40m56.541s
0h02m36.2075s +0d25m16.2601s
0h02m36.3647s +0d29m44.503s
0h02m38.3628s +14d38m48.8364s
0h02m38.7103s +0d23m09.8853s
0h02m39.6508s +0d56m33.5828s
0h02m39.9002s +1d00m40.5742s
0h02m40.8694s +13d57m34.0524s
0h02m41.2178s +0d04m59.6108s
0h02m41.6897s +14d01m41.6172s
0h02m42.5991s +1d03m00.7402s
0h02m43.0782s +-0d24m34.1109s
0h02m43.087s +0d34m19.0654s
0h02m43.2811s +-10d43m15.3084s
0h02m45.3824s +-10d34m29.496s
0h02m47.4749s +-9d48m57.8441s
0h02m47.8571s +-9d02m42.3712s
0h02m48.8851s +0d28m34.0515s
0h02m49.0669s +0d45m04.8063s
0h02m49.1221s +-11d07m35.0184s
0h02m51.2365s +16d04m22.9404s
0h02m51.3807s +-10d38m17.1312s
0h02m51.5767s +15d39m17.3664s
0h02m51.7239s +0d25m45.6987s
0h02m51.9603s +16d03m14.1444s
0h02m52.1019s +0d39m34.5037s
0h02m52.3517s +1d07m01.4898s
0h02m52.691s +0d00m29.9676s
0h02m53.2072s +0d56m49.751s
0h02m55.1158s +14d21m35.964s
0h02m56.6307s +0d46m21.4889s
0h02m56.6571s +0d35m14.6205s
0h02m56.7974s +-10d03m33.1668s
0h02m57.2014s +-10d43m30.4608s
0h02m57.8531s +14d09m50.238s
0h02m57.8811s +-9d57m17.2228s
0h02m58.0961s +14d18m23.5692s
0h02m58.5852s +0d08m31.0336s
0h02m59.1385s +-10d34m44.0796s
0h02m59.4184s +0d18m15.6096s
0h03m01.1815s +0d03m38.5672s
0h03m01.4658s +-0d19m01.9569s
0h03m01.6613s +15d40m30.0324s
0h03m02.6043s +16d07m31.1736s
0h03m04.786s +13d51m48.1176s
0h03m06.5848s +15d55m24.9672s
0h03m08.1335s +15d58m37.4196s
0h03m08.3254s +-9d41m46.999s
0h03m09.0523s +-0d45m08.3583s
0h03m11.0287s +13d46m39.5904s
0h03m11.223s +-10d14m20.9004s
0h03m11.2652s +15d57m56.736s
0h03m12.0522s +13d54m35.46s
0h03m12.3004s +-10d50m05.3628s
0h03m12.852s +-9d01m54.7086s
0h03m13.871s +-10d27m04.4964s
0h03m14.8958s +-0d02m17.7432s
0h03m14.9549s +1d06m02.3011s
0h03m15.0248s +16d08m44.3868s
0h03m15.254s +16d02m53.8332s
0h03m15.413s +-9d18m36.5526s
0h03m15.5163s +0d16m45.3734s
0h03m17.7205s +15d31m27.3144s
0h03m18.5701s +-10d45m23.0076s
0h03m20.5809s +-0d31m36.1604s
0h03m20.8495s +14d40m24.0456s
0h03m21.6317s +-9d58m59.7364s
0h03m22.2225s +-10d46m14.2356s
0h03m22.481s +1d03m28.2715s
0h03m23.2086s +-0d59m39.2273s
0h03m23.7366s +1d05m59.5277s
0h03m26.6573s +0d55m53.6377s
0h03m26.8531s +1d04m50.4584s
0h03m27.4896s +1d05m51.8687s
0h03m27.5265s +-10d40m35.1696s
0h03m28.3545s +0d53m44.832s
0h03m28.7248s +0d40m37.2824s
0h03m29.3825s +14d00m30.6288s
0h03m29.8273s +-11d04m36.7716s
0h03m30.8129s +-0d33m56.4692s
0h03m30.8987s +1d03m32.139s
0h03m32.1294s +-10d44m40.8156s
0h03m32.181s +13d57m42.4224s
0h03m32.263s +0d52m58.2044s
0h03m32.9456s +1d04m49.8677s
0h03m33.9173s +0d36m51.3137s
0h03m34.5673s +14d01m41.1024s
0h03m34.5719s +15d09m50.2596s
0h03m35.0161s +1d02m44.9552s
0h03m35.7765s +0d54m33.0897s
0h03m36.6423s +15d10m44.868s
0h03m36.676s +14d14m34.1196s
0h03m37.96s +-0d16m01.3057s
0h03m38.3158s +13d58m23.0628s
0h03m38.5186s +0d53m12.8693s
0h03m40.0864s +-0d16m49.2387s
0h03m40.4164s +14d16m02.082s
0h03m40.9992s +1d09m04.7218s
0h03m41.0099s +15d08m24.3456s
0h03m42.9298s +14d24m43.8336s
0h03m43.121s +15d13m04.6956s
0h03m44.3232s +16d11m12.6636s
0h03m44.5691s +0d34m28.8998s
0h03m44.9937s +13d57m25.7004s
0h03m45.472s +1d02m40.8858s
0h03m45.9998s +0d51m17.5471s
0h03m46.4353s +0d11m53.4324s
0h03m46.515s +-11d01m42.996s
0h03m47.024s +-0d03m50.365s
0h03m48.0325s +14d20m20.292s
0h03m48.2749s +-0d45m25.84s
0h03m48.3322s +0d21m34.4527s
0h03m48.7796s +0d56m46.0177s
0h03m49.0872s +15d19m10.902s
0h03m49.6109s +0d59m29.3276s
0h03m51.0871s +-10d48m38.844s
0h03m51.8896s +-8d54m47.344s
0h03m52.3729s +-9d56m36.8466s
0h03m52.4606s +-10d23m41.9604s
0h03m52.7552s +16d03m34.0956s
0h03m53.7588s +14d34m02.1252s
0h03m54.2301s +-10d41m58.2324s
0h03m54.6951s +14d11m50.7084s
0h03m55.8055s +0d22m39.1609s
0h03m55.9487s +0d53m02.8876s
0h03m56.555s +-10d21m04.8744s
0h03m57.232s +14d24m53.5392s
0h03m57.2514s +-9d46m56.1079s
0h03m57.2683s +0d28m32.0767s
0h03m57.6238s +-0d49m39.0472s
0h03m57.9227s +-10d20m44.2932s
0h03m58.1191s +-0d02m44.2582s
0h03m58.8074s +13d43m28.6788s
0h03m59.3854s +-10d19m10.8228s
0h03m59.814s +0d31m50.4935s
0h03m59.8757s +1d04m21.9191s
0h04m00.0898s +0d30m22.577s
0h04m00.6272s +14d42m13.5072s
0h04m00.641s +-11d10m40.8576s
0h04m00.79s +16d01m10.4484s
0h04m01.285s +-10d42m17.8056s
0h04m01.6157s +-10d49m48.7524s
0h04m02.5289s +-10d51m43.9956s
0h04m02.6161s +0d28m34.8347s
0h04m02.9428s +13d45m05.4216s
0h04m02.988s +-10d02m38.3388s
0h04m03.276s +0d38m44.3611s
0h04m04.3175s +-10d21m53.9424s
0h04m05.6295s +-10d06m47.7252s
0h04m06.0051s +-0d13m33.2593s
0h04m06.4175s +0d33m03.6009s
0h04m07.0582s +14d27m37.2888s
0h04m07.737s +0d44m11.4237s
0h04m08.0453s +-9d33m38.1715s
0h04m10.1324s +0d40m12.6867s
0h04m10.3751s +0d28m40.6428s
0h04m10.462s +-10d01m18.1272s
0h04m13.1572s +13d51m05.6664s
0h04m13.6106s +0d46m46.5696s
0h04m13.8562s +1d00m04.2422s
0h04m14.3698s +0d28m33.1191s
0h04m15.6082s +-11d05m14.0424s
0h04m16.0153s +-9d57m27.7524s
0h04m18.1285s +-10d27m46.5696s
0h04m18.2287s +-1d09m41.2794s
0h04m20.4063s +1d07m40.1995s
0h04m21.8359s +1d05m21.0959s
0h04m22.6026s +0d43m41.049s
0h04m22.8067s +-9d39m55.5934s
0h04m23.7393s +14d21m28.1412s
0h04m24.6128s +-9d50m50.7487s
0h04m25.9154s +-10d14m07.4004s
0h04m26.4502s +16d03m46.0476s
0h04m26.5432s +14d55m54.8832s
0h04m27.6661s +13d49m57.4248s
0h04m30.6792s +14d02m12.5988s
0h04m31.9175s +-1d14m11.7262s
0h04m32.4307s +0d54m31.6706s
0h04m33.9494s +-9d03m07.2918s
0h04m34.2742s +-9d03m09.3182s
0h04m34.7534s +15d12m50.1048s
0h04m35.2184s +0d50m54.9764s
0h04m35.8351s +15d22m17.0256s
0h04m36.776s +-10d26m48.5268s
0h04m36.7964s +-10d22m33.834s
0h04m37.0118s +-10d32m09.8736s
0h04m37.3321s +-9d01m23.6978s
0h04m37.628s +-10d06m55.0188s
0h04m38.098s +1d07m19.6496s
0h04m38.454s +15d49m00.3216s
0h04m39.9472s +-9d39m57.622s
0h04m40.4422s +0d35m02.6885s
