,ra,dec
0,215.04742,25.345426
1,215.03693,25.078682
2,214.60311,25.114103
3,214.79685,25.173384
4,215.07301,25.025921
5,214.87019,24.678506
6,214.78653,24.852944
7,214.72779,24.974805
8,214.69502,24.937002
9,214.89442,24.812244
10,214.75578,24.943717
11,215.02874,24.854903
12,214.73091,24.68581
13,214.79563,24.984928
14,214.80327,24.798727
15,214.96572,24.686944
16,214.84922,24.534495
17,214.71457,24.7469
18,214.8545,24.793
19,214.82536,24.731762
20,214.69796,24.459441
21,214.94445,24.525487
22,215.14197,25.267203
23,215.20592,25.203496
24,215.225,25.187175
25,215.10758,25.261069
26,215.16293,25.228472
27,215.16391,25.316727
28,215.13707,25.344122
29,215.0918,25.309626
30,215.22202,25.229842
31,215.147,25.155568
32,215.34041,25.061631
33,215.09813,25.337607
34,215.08943,25.115889
35,215.11553,25.209994
36,215.1089,25.179301
37,215.37486,25.124618
38,215.12466,25.127867
39,215.10141,25.150877
40,215.22249,24.994979
41,215.44015,24.882902
42,215.11662,24.728416
43,215.15345,24.977725
44,215.41477,24.864608
45,215.22066,24.933374
46,215.06253,24.758409
47,215.03492,24.629495
48,215.25588,24.982297
49,215.17438,25.009723
50,215.54565,24.502275
51,215.41066,24.727648
52,215.19633,24.742705
53,161.05448,17.345087
54,161.04828,17.451376
55,160.99523,17.601899
56,160.97315,17.619651
57,161.05612,17.57535
58,161.02238,17.676688
59,161.09382,17.530952
60,160.89289,17.868405
61,161.01461,17.702641
62,161.04891,17.714642
63,160.96287,17.855403
64,160.94689,17.745501
65,160.89154,17.987414
66,160.93146,17.799632
67,160.99827,18.060367
68,161.07205,18.038253
69,160.85176,18.151545
70,161.01368,18.211032
71,161.01383,18.029976
72,161.04945,18.091369
73,161.05286,18.279468
74,161.13552,18.226466
75,161.0046,16.917756
76,161.02062,16.900483
77,160.98152,17.195194
78,160.99138,17.121743
79,160.93777,17.245964
80,160.92156,17.279146
81,160.95842,17.279665
82,160.94053,17.46749
83,160.91847,17.334472
84,160.95274,17.391147
85,160.88196,17.54287
86,160.93765,17.622263
87,160.8949,17.688668
88,160.92653,17.665008
89,160.83507,17.74089
90,160.85667,17.745569
91,160.79333,17.730287
92,160.83327,18.018991
93,160.76316,17.899355
94,160.73358,17.958547
95,160.80002,17.789844
96,160.71005,17.984683
97,160.77444,18.039508
98,160.79445,17.928634
99,160.74709,17.990875
100,189.45583,43.824607
101,189.17227,43.819742
102,189.42901,43.862568
103,189.51752,44.130167
104,189.61589,43.975466
105,189.69289,44.096371
106,189.32851,44.215643
107,189.44115,44.194212
108,189.08621,44.318836
109,189.27207,44.576497
110,189.05396,44.308674
111,189.2933,44.293105
112,189.21186,44.301707
113,189.00969,44.407883
114,189.04554,44.546524
115,189.24916,44.588688
116,188.98498,44.570728
117,189.02206,44.557764
118,189.11821,44.677604
119,189.26149,44.741705
120,189.02203,44.823102
121,189.3137,44.853693
122,188.99619,43.869546
123,188.61105,43.517506
124,188.67498,43.527235
125,188.9011,44.144334
126,189.12717,44.17213
127,189.09362,44.123438
128,188.67606,43.500744
129,188.85367,43.916069
130,188.95018,44.191031
131,188.95492,44.167963
132,188.74512,44.271974
133,188.80105,44.412308
134,188.95975,44.34293
135,188.78635,44.375905
136,188.96127,44.486795
137,188.97831,44.532802
138,188.8591,44.726709
139,188.78011,44.591894
140,188.78609,44.827113
141,188.94707,44.569192
142,188.91818,44.837846
143,188.93067,44.519811
144,188.47339,43.452504
145,188.52622,43.522728
146,188.5733,43.587247
147,188.54576,43.509319
148,188.5095,43.628265
149,188.57314,43.907712
150,188.60419,43.665041
151,188.57795,44.116922
152,188.69086,44.091389
153,188.51346,44.025562
154,188.75158,44.087599
155,188.48596,43.782775
156,188.80577,44.192537
157,188.72353,44.237242
158,188.51018,44.410107
159,188.71335,44.418753
160,188.71805,44.380848
161,188.75037,44.495423
162,188.54513,44.44755
163,188.5675,44.360683
164,188.48341,44.44796
165,188.43859,44.370483
166,188.55655,44.858904
167,188.5286,44.520898
168,188.65053,44.896808
169,188.569,44.530012
170,188.55212,44.77604
171,188.38234,43.631932
172,188.29963,43.57021
173,188.36558,43.418545
174,188.2524,43.684512
175,188.43243,43.517959
176,188.30982,43.653529
177,188.44138,43.879617
178,188.49643,44.07108
179,124.93592,25.154275
180,124.86635,24.831724
181,124.88484,24.687112
182,124.92354,25.184035
183,124.89277,24.848244
184,124.85535,25.141346
185,124.94305,25.238615
186,124.94889,25.069577
187,124.83206,25.189016
188,124.66364,25.357678
189,124.7754,25.415316
190,124.70241,25.454571
191,124.73398,25.385046
192,124.68936,25.3865
193,124.77624,25.80838
194,124.74921,25.454629
195,124.6741,25.476541
196,124.70618,25.688316
197,124.64447,25.543378
198,124.77969,25.516807
199,124.74068,25.581096
200,124.75701,25.511054
201,124.79967,25.554775
202,124.65631,25.612326
203,124.79719,25.527452
204,124.57967,24.9271
205,124.55656,25.052201
206,124.60422,24.94608
207,124.42067,25.086601
208,124.53349,24.98532
209,124.45244,25.219162
210,124.6373,24.945861
211,124.59118,24.980377
212,214.44446,29.044803
213,214.41448,29.699282
214,214.46095,29.420334
215,214.49797,29.411384
216,214.39921,29.432049
217,214.55037,29.523027
218,214.29424,29.430297
219,214.41142,29.600848
220,214.27715,29.518124
221,214.48319,29.634812
222,214.33102,29.600694
223,214.40113,29.712191
224,214.54326,29.811891
225,214.45436,29.844638
226,214.05609,28.34785
227,214.0111,28.250711
228,214.03272,28.250896
229,214.25406,28.994623
230,214.18377,28.468011
231,214.23419,28.536999
232,214.29143,28.73806
233,214.31596,28.906828
234,214.33469,29.180497
235,214.13219,28.916661
236,214.29955,28.980782
237,214.27452,28.969505
238,214.11479,29.10901
239,214.24319,29.274265
240,214.31694,29.275123
241,214.30511,28.628933
242,214.26202,29.831323
243,214.19052,29.341061
244,214.04176,29.444132
245,214.22799,29.62377
246,214.20114,29.609053
247,214.17757,29.606518
248,214.24079,29.550062
249,214.16337,29.408729
250,214.02256,29.545524
251,214.15441,29.516495
252,214.09609,29.268089
253,214.28371,29.666219
254,214.1632,29.582786
255,214.13483,29.836486
256,214.00265,28.457383
257,213.92713,28.459443
258,213.94772,28.197191
259,213.29715,28.807785
260,213.32642,29.107305
261,213.21332,28.593337
262,213.29539,28.988391
263,213.35524,29.044195
264,213.34645,29.189519
265,213.27876,29.302233
266,213.35375,29.258511
267,213.27634,29.275974
268,213.37164,29.268145
269,213.32765,29.419345
270,213.43098,29.422553
271,213.41004,29.565003
272,213.4343,29.648883
273,213.41402,29.61023
274,213.42359,29.535508
275,213.4106,29.698069
276,213.452,29.517588
277,213.4091,29.43495
278,213.37122,29.664156
279,213.33079,29.588522
280,213.39009,29.704191
281,213.21682,28.33386
282,213.13725,28.366725
283,213.16173,28.317744
284,213.19896,28.686624
285,213.20575,28.388594
286,213.13951,28.819203
287,213.14283,28.799017
288,213.20928,28.792427
289,213.14927,28.964939
290,213.25623,29.003275
291,213.17577,28.825504
292,213.19194,28.995769
293,213.21643,28.224515
294,213.13516,28.568635
295,213.17236,29.17875
296,213.25663,29.265104
297,213.26789,29.19941
298,213.21615,29.257336
299,213.1087,29.269462
300,213.22162,29.479686
301,213.21079,29.432142
302,213.16688,29.488497
303,213.262,29.701734
304,213.2106,29.632221
305,213.15949,29.700809
306,213.1868,29.639179
307,213.00368,28.314916
308,213.09729,28.324046
309,212.98107,28.431107
310,212.98386,28.29091
311,213.10919,28.560811
312,212.95309,28.787791
313,213.03502,28.867152
314,213.09763,28.969999
315,213.09757,29.073272
316,213.01773,28.985376
317,213.05532,29.018781
318,11.143096,29.214478
319,11.243241,28.950303
320,11.28596,29.052475
321,11.166145,29.090281
322,11.301971,29.032721
323,11.28931,29.319063
324,11.198682,29.066627
325,11.353748,29.244746
326,11.16666,29.189312
327,11.281488,29.522721
328,11.223113,29.505058
329,11.368461,29.266282
330,11.338537,29.556737
331,11.252612,29.539596
