,ra,dec
0,215.04742,25.345426
1,215.03693,25.078682
2,214.60311,25.114103
3,214.79685,25.173384
4,215.07301,25.025921
5,214.87019,24.678506
6,214.78653,24.852944
7,214.72779,24.974805
8,214.69502,24.937002
9,214.89442,24.812244
10,214.75578,24.943717
11,215.02874,24.854903
12,214.73091,24.68581
13,214.79563,24.984928
14,214.80327,24.798727
15,214.96572,24.686944
16,214.84922,24.534495
17,214.71457,24.7469
18,214.8545,24.793
19,214.82536,24.731762
20,214.69796,24.459441
21,214.94445,24.525487
22,215.14197,25.267203
23,215.20592,25.203496
24,215.225,25.187175
25,215.10758,25.261069
26,215.16293,25.228472
27,215.16391,25.316727
28,215.13707,25.344122
29,215.0918,25.309626
30,215.22202,25.229842
31,215.147,25.155568
32,215.34041,25.061631
33,215.09813,25.337607
34,215.08943,25.115889
35,215.11553,25.209994
36,215.1089,25.179301
37,215.37486,25.124618
38,215.12466,25.127867
39,215.10141,25.150877
40,215.22249,24.994979
41,215.44015,24.882902
42,215.11662,24.728416
43,215.15345,24.977725
44,215.41477,24.864608
45,215.22066,24.933374
46,215.06253,24.758409
47,215.03492,24.629495
48,215.25588,24.982297
49,215.17438,25.009723
50,215.54565,24.502275
51,215.41066,24.727648
52,215.19633,24.742705
53,161.05448,17.345087
54,161.04828,17.451376
55,160.99523,17.601899
56,160.97315,17.619651
57,161.05612,17.57535
58,161.02238,17.676688
59,161.09382,17.530952
60,160.89289,17.868405
61,161.01461,17.702641
62,161.04891,17.714642
63,160.96287,17.855403
64,160.94689,17.745501
65,160.89154,17.987414
66,160.93146,17.799632
67,160.99827,18.060367
68,161.07205,18.038253
69,160.85176,18.151545
70,161.01368,18.211032
71,161.01383,18.029976
72,161.04945,18.091369
73,161.05286,18.279468
74,161.13552,18.226466
75,161.0046,16.917756
76,161.02062,16.900483
77,160.98152,17.195194
78,160.99138,17.121743
79,160.93777,17.245964
80,160.92156,17.279146
81,160.95842,17.279665
82,160.94053,17.46749
83,160.91847,17.334472
84,160.95274,17.391147
85,160.88196,17.54287
86,160.93765,17.622263
87,160.8949,17.688668
88,160.92653,17.665008
89,160.83507,17.74089
90,160.85667,17.745569
91,160.79333,17.730287
92,160.83327,18.018991
93,160.76316,17.899355
94,160.73358,17.958547
95,160.80002,17.789844
96,160.71005,17.984683
97,160.77444,18.039508
98,160.79445,17.928634
99,160.74709,17.990875
100,189.45583,43.824607
101,189.17227,43.819742
102,189.42901,43.862568
103,189.51752,44.130167
104,189.61589,43.975466
105,189.69289,44.096371
106,214.44446,29.044803
107,214.41448,29.699282
108,214.46095,29.420334
109,214.49797,29.411384
110,214.39921,29.432049
111,214.55037,29.523027
112,214.29424,29.430297
113,214.41142,29.600848
114,214.27715,29.518124
115,214.48319,29.634812
116,214.33102,29.600694
117,214.40113,29.712191
118,214.54326,29.811891
119,214.45436,29.844638
120,214.05609,28.34785
121,214.0111,28.250711
122,214.03272,28.250896
123,214.25406,28.994623
124,214.18377,28.468011
125,214.23419,28.536999
126,214.29143,28.73806
127,214.31596,28.906828
128,214.33469,29.180497
129,214.13219,28.916661
130,214.29955,28.980782
131,214.27452,28.969505
132,214.11479,29.10901
133,214.24319,29.274265
134,214.31694,29.275123
135,214.30511,28.628933
136,214.26202,29.831323
137,214.19052,29.341061
138,214.04176,29.444132
139,214.22799,29.62377
140,214.20114,29.609053
141,214.17757,29.606518
142,214.24079,29.550062
143,214.16337,29.408729
144,214.02256,29.545524
145,214.15441,29.516495
146,214.09609,29.268089
147,214.28371,29.666219
148,214.1632,29.582786
149,214.13483,29.836486
150,214.00265,28.457383
151,213.92713,28.459443
152,213.94772,28.197191
153,213.29715,28.807785
154,213.32642,29.107305
155,213.21332,28.593337
156,213.29539,28.988391
157,213.35524,29.044195
158,213.34645,29.189519
159,213.27876,29.302233
160,213.35375,29.258511
161,213.27634,29.275974
162,213.37164,29.268145
163,213.32765,29.419345
164,213.43098,29.422553
165,213.41004,29.565003
166,213.4343,29.648883
167,213.41402,29.61023
168,213.42359,29.535508
169,213.4106,29.698069
170,213.452,29.517588
171,213.4091,29.43495
172,213.37122,29.664156
173,213.33079,29.588522
174,213.39009,29.704191
175,213.21682,28.33386
176,213.13725,28.366725
177,213.16173,28.317744
178,213.19896,28.686624
179,213.20575,28.388594
180,213.13951,28.819203
181,213.14283,28.799017
182,213.20928,28.792427
183,213.14927,28.964939
184,213.25623,29.003275
185,213.17577,28.825504
186,213.19194,28.995769
187,213.21643,28.224515
188,213.13516,28.568635
189,213.17236,29.17875
190,213.25663,29.265104
191,213.26789,29.19941
192,213.21615,29.257336
193,213.1087,29.269462
194,213.22162,29.479686
195,213.21079,29.432142
196,213.16688,29.488497
197,213.262,29.701734
198,213.2106,29.632221
199,213.15949,29.700809
200,213.1868,29.639179
201,213.00368,28.314916
202,213.09729,28.324046
203,212.98107,28.431107
204,212.98386,28.29091
205,213.10919,28.560811
206,212.95309,28.787791
207,213.03502,28.867152
208,213.09763,28.969999
209,213.09757,29.073272
210,213.01773,28.985376
211,213.05532,29.018781
212,11.143096,29.214478
213,11.243241,28.950303
214,11.28596,29.052475
215,11.166145,29.090281
216,11.301971,29.032721
217,11.28931,29.319063
218,11.198682,29.066627
219,11.353748,29.244746
220,11.16666,29.189312
221,11.281488,29.522721
222,11.223113,29.505058
223,11.368461,29.266282
224,11.338537,29.556737
225,11.252612,29.539596
226,10.96216,29.108819
227,11.105126,28.938888
228,11.099281,29.203403
229,11.090862,29.23571
230,11.072249,29.224373
231,11.0061,29.345871
232,11.048426,29.630795
233,11.060791,29.395487
234,11.138156,29.491772
235,11.057358,29.496162
236,11.035815,29.326074
237,10.77332,28.427492
238,10.685963,28.317127
239,10.695046,28.354937
240,10.836007,28.721464
241,10.815773,28.663164
242,10.741695,28.655793
243,11.136617,28.736022
244,10.728266,28.514079
245,10.949607,28.81764
246,10.929322,28.821299
247,10.764527,28.87333
248,10.595485,28.959008
249,10.814452,29.169771
250,334.73414,1.6396006
251,335.00587,1.5985392
252,335.08951,1.4091107
253,334.97118,1.4514033
254,334.82205,1.2500623
255,334.75379,1.4088859
256,334.97736,1.3989712
257,335.04397,1.3849241
258,335.03414,1.3347718
259,334.96217,1.4090914
260,334.89119,1.3398918
261,334.76177,1.2874062
262,335.00543,1.3184341
263,334.98705,1.3408297
264,335.03086,1.6933116
265,335.1089,1.6961363
266,335.07407,2.0617339
267,335.06141,1.7236795
268,335.30864,1.9505358
269,335.15696,1.7996095
270,335.30212,2.2210679
271,335.1874,2.1589669
272,335.09788,2.1586508
273,334.62366,1.4352744
274,334.65316,1.4372776
275,334.59474,1.4573448
276,334.59882,1.3590309
277,334.73172,1.4032469
278,334.60647,1.4765688
279,334.65097,1.6491261
280,334.56133,1.6318334
281,334.57027,1.4892621
282,334.54821,1.5520312
283,334.61851,1.6263812
284,335.00517,1.6990061
285,334.94449,1.7026871
286,334.86943,1.7570666
287,153.68971,10.699742
288,153.61382,10.02404
289,153.67922,10.235917
290,153.50952,10.446061
291,153.72267,10.515602
292,153.77257,10.632093
293,153.58395,10.498991
294,153.71896,10.589599
295,153.7615,10.497637
296,153.69599,10.653884
297,153.72592,10.667273
298,153.30143,10.240284
299,153.39448,10.128075
300,153.40854,10.319118
301,153.47229,10.383416
302,153.45963,10.173643
303,153.28203,10.307668
304,153.41972,10.353829
305,153.46703,10.568436
306,153.28861,10.37004
307,153.37075,10.468554
308,153.29312,10.447968
309,153.31488,10.437943
310,153.27952,10.42826
311,153.52283,10.641286
312,153.41209,10.698382
313,153.2093,9.5035924
314,153.33027,9.6947286
315,153.10324,9.4664742
316,153.25305,9.5998809
317,153.31121,9.636255
318,189.32851,44.215643
319,189.44115,44.194212
320,189.08621,44.318836
321,189.27207,44.576497
322,189.05396,44.308674
323,189.2933,44.293105
324,189.21186,44.301707
325,189.00969,44.407883
326,189.04554,44.546524
327,189.24916,44.588688
